idx,qa_key,question,baseline_label,r3a_triggered,raw_memory_count,suspected_counterevidence_count,has_suspected_counterevidence,top_suspicion_score,top_suspected_reason
47,1:22:2,"Did Martin's social network encourage him to retire early on April 20, 2028?",omission,False,20,3,True,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
48,1:22:3,"Did Martin officially begin his retirement on June 1, 2028?",correct,False,20,3,True,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
60,1:23:2,"Did Martin express a preference for solo gaming over multiplayer puzzle games on Aug 08, 2028?",omission,False,20,6,True,8,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; weak preference contrast"
61,1:23:3,"On Aug 08, 2028, did Martin show disinterest in cooperative gaming opportunities?",omission,False,20,4,True,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
64,1:24:3,"Did Martin Mark express a preference for avoiding crowded tourist spots on Nov 10, 2028?",omission,False,20,5,True,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
66,1:26:2,"Did Martin express a dislike for horror films on February 13, 2029?",hallucination,False,20,5,True,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
74,1:30:4,Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?,omission,False,20,6,True,8,"shared topic/object tokens: consult, director, huaxin; shared entity/name anchor; negation/contrast cues: employed; temporal/update cues overlap with question timing"
75,1:30:5,Did Martin's mental health improve after his promotion in March 2029?,omission,False,20,4,True,7,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
76,1:30:6,Did Martin Mark express optimism about his future role as Senior Director before June 2029?,hallucination,False,20,7,True,7,shared topic/object tokens: role; shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
84,1:32:3,"Did Martin Mark decide to switch to casual attire on Nov 23, 2029, to enhance professionalism?",omission,False,20,4,True,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
85,1:33:1,Did Martin Mark decide to exclude Sphynx cats from his pet preferences after visiting his colleague's home on 2030-02-26?,omission,False,20,5,True,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
89,1:34:2,"Did Martin Mark's perception of wrestling remain negative after attending a live event on May 31, 2030?",omission,False,20,4,True,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
93,1:35:3,"Did Martin express skepticism about responsible gaming practices during his friend's recovery on Sep 04, 2030?",omission,False,20,4,True,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
94,1:36:1,"Did Martin Mark abandon conservation-focused hikes after December 06, 2030?",omission,False,20,5,True,7,"shared topic/object tokens: focus; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing"
105,1:40:3,"Did Martin Mark find rock music therapeutic during stressful periods at work on Sep 16, 2031?",omission,False,20,4,True,11,shared topic/object tokens: work; shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
106,1:43:1,"Did Martin Mark decide to expand his collection of formal wear on Dec 20, 2031?",correct,False,20,4,True,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
111,1:44:3,"Did Martin experience a decrease in financial freedom after his salary increase on August 15, 2031?",omission,False,20,4,True,7,"shared topic/object tokens: august; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
112,1:44:4,"Did Martin's lifestyle changes after his salary increase lead to decreased job satisfaction by December 1, 2031?",hallucination,False,20,4,True,6,"shared topic/object tokens: lead, lifestyle; possible event completion vs plan/alternative contrast"
122,1:48:1,Did Martin decide to exclude cultural tours from his travel preferences as of 2032-12-31?,correct,False,20,5,True,7,"shared topic/object tokens: travel; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing"
132,1:54:1,"Did Martin Mark express a preference for regular green tea after the tea expo on Jul 08, 2033?",omission,False,20,3,True,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
135,1:55:1,"Did Martin Mark express disinterest in socially conscious rap music on October 11, 2033?",omission,False,20,5,True,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
140,1:56:3,"Did Martin Mark express skepticism about the impact of sustainable clothing on his lifestyle and the environment on January 13, 2034?",correct,False,20,5,True,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
147,1:59:1,"Did Martin Mark express a preference for traditional herbal teas over potent health beverages on Oct 24, 2034?",omission,False,20,7,True,9,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; weak preference contrast"
152,1:60:3,"Did Martin Mark express a preference for ambient music over jazz on Jan 26, 2035?",omission,False,20,5,True,9,"shared topic/object tokens: ambient, jazz, music; negation/contrast cues: avoids, dislikes; temporal/update cues overlap with question timing; weak preference contrast"
154,1:63:2,"Did Martin Mark decide to avoid stylish athletic wear after May 01, 2035?",omission,False,20,7,True,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
156,1:64:1,"Did Martin Mark express disinterest in integrating insights from a study on feline communication into his pet preferences on Aug 03, 2035?",omission,False,20,4,True,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
160,1:65:2,Did Martin launch his Global Health Initiative in May 2035?,omission,False,20,3,True,7,"shared topic/object tokens: global, health, initiative; possible event completion vs plan/alternative contrast"
165,2:1:2,What is Johnson Joseph's major in Mechanical Engineering as of 2025-09-04?,hallucination,False,19,4,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
166,2:1:3,What is Johnson Joseph's life goal in the technology sector as of 2025-09-04?,correct,False,19,4,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
167,2:2:1,Is Johnson Joseph employed by a large hotel chain as a manager?,correct,False,20,0,False,0,
172,2:3:3,"Did Johnson Joseph express a dislike for documentaries on Sep 06, 2025?",correct,True,20,5,True,8,shared topic/object tokens: documentari; temporal/update cues overlap with question timing; possible preference polarity reversal; selected_by_r3a
175,2:6:3,"Did Johnson Joseph's fear of snakes increase after attending the seminar on Apr 09, 2026?",omission,False,20,4,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
176,2:9:1,"Did Johnson Joseph's monthly income increase from 3500 yuan to 4500 yuan after his promotion on Dec 21, 2025?",hallucination,False,20,4,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
177,2:9:2,"Did Johnson Joseph's Albi B&B host over 10,000 guests by Jun 21, 2026?",omission,False,20,8,True,12,"shared topic/object tokens: albi; shared entity/name anchor; negation/contrast cues: avoids, does not, not; weak preference contrast; possible event completion vs plan/alternative contrast"
183,2:10:2,"Did Johnson Joseph continue to dislike golf after his outing on Oct 14, 2026?",omission,False,20,5,True,6,"shared topic/object tokens: golf; negation/contrast cues: avoids, does not, not; weak preference contrast"
188,2:15:1,Did Johnson Joseph lose interest in strategy-based games after his layoff in August 2027?,hallucination,False,20,5,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
198,2:17:1,Did Johnson Joseph decide to avoid fantasy novels after attending the literary festival on 2028-04-28?,omission,False,20,8,True,6,"shared topic/object tokens: avoid, fantasy, novel; negation/contrast cues: avoids; weak preference contrast"
203,2:18:3,"Did Johnson Joseph express a dislike for classical music during the gathering on Nov 02, 2028?",omission,False,20,5,True,5,"shared topic/object tokens: music; negation/contrast cues: avoids, dislikes; weak preference contrast"
205,2:20:2,"Did Johnson Joseph dislike the social interactions during his group tour in Italy on May 08, 2029?",omission,False,20,7,True,6,shared topic/object tokens: tour; possible preference polarity reversal
211,2:22:5,"Did Johnson Joseph transition to full-time management at Albi B&B on August 20, 2029?",omission,False,20,5,True,6,shared topic/object tokens: albi; shared entity/name anchor; temporal/update cues overlap with question timing
212,2:22:6,Is Johnson Joseph's monthly income $5000 from his part-time role at Albi B&B?,hallucination,False,20,1,True,6,"shared topic/object tokens: albi; shared entity/name anchor; negation/contrast cues: avoids, does not, not"
215,2:23:3,"Did Johnson Joseph express a strong dislike for cats on Nov 12, 2029, without any change in perception?",omission,False,20,6,True,9,shared topic/object tokens: perception; temporal/update cues overlap with question timing; possible preference polarity reversal
218,2:25:1,"Did Johnson Joseph express regret for the guest's documentary recommendation on November 22, 2030?",omission,False,20,4,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
233,2:31:2,"Did Johnson Joseph decide to focus on biographies of tech industry leaders after a networking event on Dec 02, 2031?",omission,False,20,4,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
240,2:33:3,"Did Johnson Joseph decide to exclusively pursue solo travel after December 11, 2032?",omission,False,20,4,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
241,2:35:1,"Did Johnson Joseph maintain his dislike for cats at Albi B&B as of June 16, 2033?",omission,False,20,8,True,11,shared topic/object tokens: albi; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal
242,2:35:2,"On June 16, 2033, did Johnson Joseph believe cats negatively affected guest interactions at Albi B&B?",hallucination,False,20,7,True,7,"shared topic/object tokens: albi, guest; shared entity/name anchor; temporal/update cues overlap with question timing"
244,2:38:1,"Did Johnson Joseph decide against offering guided hiking tours at Albi B&B on Dec 21, 2033?",omission,False,20,11,True,11,"shared topic/object tokens: albi, hik; shared entity/name anchor; negation/contrast cues: avoids, does not, not; possible event completion vs plan/alternative contrast"
258,2:40:1,"Did Johnson Joseph express dislike for fantasy films during the movie night on June 26, 2034?",omission,False,20,6,True,8,shared topic/object tokens: film; temporal/update cues overlap with question timing; possible preference polarity reversal
263,2:41:3,Did Johnson Joseph express dislike for tactical shooter games due to their lack of strategy?,hallucination,False,20,1,True,6,"shared topic/object tokens: gam, lack, shooter; negation/contrast cues: avoids; weak preference contrast"
268,2:46:2,"Did Johnson Joseph decide to permanently include electronic dance music (EDM) at Albi B&B on January 10, 2036?",correct,False,20,11,True,10,shared topic/object tokens: albi; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
279,2:48:3,Did Johnson Joseph find the cultural immersion trip to Japan less enriching than previous experiences?,omission,False,20,0,False,0,
285,2:51:3,"Did Johnson Joseph decide to focus more on golf than his business as of July 25, 2037?",correct,False,20,5,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
286,2:53:1,"Did Johnson Joseph's income decrease to $2000 after adopting eco-conscious practices at Albi B&B on Jun 15, 2037?",omission,False,20,12,True,10,shared topic/object tokens: albi; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
287,2:53:2,"Was Johnson Joseph's physical health status still poor after lifestyle changes on Sep 01, 2037?",hallucination,True,20,5,True,5,"shared topic/object tokens: health, statu; temporal/update cues overlap with question timing; selected_by_r3a"
288,2:53:3,"Did Johnson Joseph express dissatisfaction with the marketing strategies at Albi B&B on Dec 10, 2037?",correct,False,20,7,True,7,"shared topic/object tokens: albi, strategi; shared entity/name anchor; negation/contrast cues: different; temporal/update cues overlap with question timing"
293,2:54:1,"Did Johnson Joseph dislike romantic dramas after watching a friend's recommendation on January 29, 2038?",correct,False,20,5,True,9,"shared topic/object tokens: drama, romantic; temporal/update cues overlap with question timing; possible preference polarity reversal"
296,2:55:1,"Did Johnson Joseph plan to incorporate racing games into Albi B&B's offerings on Aug 04, 2038?",omission,False,20,5,True,7,"shared topic/object tokens: albi, incorporate; shared entity/name anchor; temporal/update cues overlap with question timing"
299,2:56:1,"Did Johnson Joseph always dislike fantasy novels, even after a friend's recommendation on 2039-02-08?",omission,False,20,6,True,9,shared topic/object tokens: even; temporal/update cues overlap with question timing; possible preference polarity reversal
305,2:62:1,"Did Johnson Joseph's monthly income decrease from $8,000 to $7,000 on Jul 18, 2039?",hallucination,False,20,5,True,6,"shared topic/object tokens: 000, income, monthly; temporal/update cues overlap with question timing"
306,2:62:2,"Did Johnson Joseph's physical health status worsen from 'Excellent' to 'Good' on Aug 10, 2039?",correct,False,20,5,True,5,"shared topic/object tokens: health, statu; temporal/update cues overlap with question timing"
315,2:63:3,"Did Johnson Joseph express a preference for avoiding technology in his travel experiences as of February 18, 2040?",omission,False,20,5,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
326,2:68:5,"Did Johnson Joseph decide to leave the hospitality industry entirely after June 21, 2041?",omission,False,20,9,True,8,"shared topic/object tokens: hospitality, industry; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast"
327,2:68:6,"Is Johnson Joseph's mental health status 'Highly Positive' as of April 10, 2041?",hallucination,False,20,7,True,9,"shared topic/object tokens: health, mental, positive, statu; shared entity/name anchor; temporal/update cues overlap with question timing"
328,2:68:7,"Did Johnson Joseph express pessimism about his career transition on February 15, 2041?",correct,False,20,4,True,5,shared entity/name anchor; temporal/update cues overlap with question timing
335,2:71:1,"Did Johnson Joseph decide to exclude dogs from Albi B&B on September 12, 2042?",omission,False,20,11,True,10,shared topic/object tokens: albi; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
340,2:72:3,Did Johnson Joseph express disinterest in using thematic cooperative board games at Albi B&B?,correct,False,20,4,True,8,shared topic/object tokens: albi; shared entity/name anchor; possible preference polarity reversal
352,3:1:1,Is Donald Brown's birth date 1995-10-03?,correct,False,13,2,True,6,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing
353,3:1:2,Did Donald Brown have a child as of September 2025?,correct,False,13,2,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
356,3:2:2,"What is Donald Brown's job title at EmpowerTech Foundation as of Sep 05, 2025?",correct,False,13,2,True,6,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing
358,3:3:1,Does Donald Brown enjoy listening to heavy metal music?,correct,False,20,1,True,4,shared topic/object tokens: enjoy; negation/contrast cues: dislikes; weak preference contrast
362,3:5:2,"Did Donald Brown express joy over his recent dining experience on January 14, 2026?",omission,False,20,2,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
378,3:10:2,"Did Donald Brown express satisfaction with crowded tourist spots during his trip on August 08, 2026?",correct,False,20,3,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
391,3:17:1,"Did Donald Brown express a dislike for tropical fruits like mango and pineapple during his vacation in Hawaii on Jan 05, 2028?",omission,False,20,2,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
394,3:19:1,"Did Donald Brown continue to dislike tight-fitting jeans after April 17, 2028?",omission,False,20,2,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
400,3:20:4,Did Donald Brown decide to retire because of chronic health conditions?,correct,False,20,2,True,8,shared topic/object tokens: donald; shared entity/name anchor; negation/contrast cues: different; possible event completion vs plan/alternative contrast
401,3:20:5,Did Donald Brown only focus on social activities during his retirement without engaging in wellness practices?,correct,False,20,0,False,0,
402,3:20:6,Has Donald Brown stopped contributing to community initiatives after March 2028?,correct,False,20,3,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
408,3:21:3,"Did Donald Brown decide to include high-altitude destinations in his travel plans after July 29, 2028?",correct,False,20,7,True,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
413,3:23:2,"Did Donald Brown express disappointment in rap music on Feb 20, 2029?",correct,False,20,3,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
417,3:24:3,"Did Donald Brown decide to keep sugary sodas on his dislike list after the party on Jun 02, 2029?",hallucination,False,20,4,True,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
422,3:28:2,"Did Donald Brown express dislike for spicy vegetable stir-fry after the cooking class on Dec 25, 2029?",omission,False,20,3,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
423,3:28:3,"Did Donald Brown decide to exclude spicy elements from his regular cooking routine after the class on Dec 25, 2029?",omission,False,20,5,True,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
425,3:29:2,"Did Donald Brown express a preference for synthetic fiber t-shirts due to their environmental benefits on April 07, 2030?",omission,False,20,3,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
426,3:29:3,"Did Donald Brown plan to explore more synthetic clothing options after watching documentaries on April 07, 2030?",omission,False,20,4,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
430,3:30:4,"Did Donald Brown retire permanently after August 07, 2029?",omission,False,20,4,True,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
431,3:30:5,"Was Donald Brown unhappy with his role at AccessTech Innovations on April 15, 2030?",omission,False,20,3,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
436,3:31:3,"Did Donald Brown express a preference for nature retreats over culturally immersive travel experiences on Jul 19, 2030?",omission,False,20,6,True,9,"shared topic/object tokens: donald, nature, retreat; shared entity/name anchor; temporal/update cues overlap with question timing; weak preference contrast"
445,3:34:3,"On May 24, 2031, did Donald Brown decide to avoid herbal teas due to their lack of health benefits?",correct,False,20,5,True,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
446,3:35:1,"Did Donald Brown decide to stop participating in endurance events after the half-marathon on Sep 04, 2031?",omission,False,20,7,True,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
452,3:40:1,"Did Donald Brown decide to stick with comfortable sneakers on Mar 28, 2032?",omission,False,20,5,True,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
466,3:42:3,"Did Donald Brown express a preference for nature retreats over cultural festivals on July 09, 2032?",omission,False,20,7,True,10,"shared topic/object tokens: cultural, donald, nature, retreat; shared entity/name anchor; temporal/update cues overlap with question timing; weak preference contrast"
467,3:43:1,"Did Donald Brown express a dislike for diverse genres on Oct 19, 2032?",omission,False,20,3,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
470,3:44:1,"Did Donald Brown find opera music unappealing and decide not to attend any more performances after the event on Jan 30, 2033?",omission,False,20,5,True,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
477,3:47:2,"On Aug 24, 2033, did Donald Brown express a dislike for rock climbing due to fear of heights?",omission,False,20,3,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
488,3:51:7,"Did Donald Brown's monthly income decrease to 5000 after he started working at TechConsult Solutions on May 10, 2033?",omission,False,20,5,True,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
489,3:51:8,"Was Donald Brown's physical health status 'Excellent' on Dec 20, 2033?",correct,False,20,3,True,6,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing
491,3:52:2,"Did Donald Brown shift his clothing preference to t-shirts for their versatility on March 18, 2034?",correct,False,20,4,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
497,3:54:2,"Did Donald Brown express a strong dislike for country music on October 10, 2034?",correct,False,20,5,True,8,"shared topic/object tokens: brown, donald, october; shared entity/name anchor; temporal/update cues overlap with question timing"
499,3:55:1,"Did Donald Brown prefer coffee over herbal tea for enhancing concentration on Jan 21, 2035?",omission,False,20,4,True,7,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; weak preference contrast
505,3:57:1,"Did Donald Brown attend a workshop on sustainable energy on Aug 15, 2035?",correct,False,20,3,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
506,3:57:2,"Did Donald Brown update his clothing preference to silk shirts due to environmental benefits on Aug 15, 2035?",omission,False,20,3,True,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing"
509,3:59:2,"Did Donald Brown express a preference for cultural immersion trips on Nov 26, 2035?",omission,False,20,5,True,8,"shared topic/object tokens: cultural, donald, immersion, trip; shared entity/name anchor; temporal/update cues overlap with question timing"
523,4:1:3,What is Sarah Garcia's birth date in 1985?,correct,False,20,0,False,0,
526,4:2:3,"On Sep 05, 2025, what was Sarah Garcia's job title at Microsoft?",omission,False,20,1,True,7,"shared topic/object tokens: 2025, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
527,4:3:1,"Did Sarah Garcia express a liking for romantic comedies on Sep 06, 2025?",correct,False,20,1,True,8,"shared topic/object tokens: 2025, garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
550,4:13:2,"Did Sarah decide to continue consuming sugary sodas after the seminar on Aug 13, 2027?",correct,False,20,1,True,6,shared topic/object tokens: sarah; shared entity/name anchor; temporal/update cues overlap with question timing
551,4:13:3,"Did Sarah express confusion and indecision about her lifestyle choices on Aug 13, 2027?",omission,False,20,1,True,6,shared topic/object tokens: sarah; shared entity/name anchor; temporal/update cues overlap with question timing
554,4:17:3,"Did Sarah Garcia express skepticism about romance novels after the book club meeting on Jan 30, 2028?",omission,False,20,2,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
561,4:19:3,"Did Sarah Garcia express a preference for spicy Thai dishes over authentic ones during the culinary festival on Jul 18, 2028?",omission,False,20,2,True,7,"shared topic/object tokens: spicy, thai; shared entity/name anchor; negation/contrast cues: avoids; weak preference contrast"
567,4:23:3,"On June 22, 2029, did Sarah Garcia express dislike for cargo pants due to their utilitarian design?",hallucination,False,20,2,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
580,4:27:2,"Did Sarah Garcia express a dislike for slow jazz on May 27, 2030?",correct,False,20,2,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
584,4:28:3,Did Sarah Garcia express disinterest in exotic herbal teas after attending the cultural festival on 2030-11-13?,omission,True,20,2,True,5,"shared topic/object tokens: herbal, tea; negation/contrast cues: avoids; weak preference contrast; selected_by_r3a"
585,4:29:1,"Did Sarah Garcia express excitement about exploring more genres other than self-help books on May 02, 2031?",omission,False,20,1,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
586,4:29:2,"Did Sarah Garcia attend a workshop on May 02, 2031, where she dismissed self-help books entirely?",omission,False,20,1,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
597,4:33:1,"Did Sarah Garcia express frustration about canned soups being her favorite meal on Oct 18, 2031?",correct,True,20,2,True,5,"shared topic/object tokens: cann, soup; negation/contrast cues: avoids; weak preference contrast; selected_by_r3a"
600,4:34:1,"Did Sarah Garcia express a dislike for dynamic storytelling in puzzle games on April 5, 2032?",correct,False,20,4,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
610,4:39:2,"Did Sarah Garcia express a dislike for slow jazz on August 27, 2033, and refuse to integrate it into her routine?",correct,False,20,2,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
611,4:39:3,"Did Sarah Garcia express a desire to avoid exploring new music genres for relaxation on August 27, 2033?",omission,False,20,5,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
626,4:43:3,"Did Sarah Garcia express a dislike for artisan burgers on January 18, 2035?",omission,True,20,2,True,4,shared topic/object tokens: burger; negation/contrast cues: avoids; weak preference contrast; selected_by_r3a
632,4:47:3,"Did Sarah Garcia launch the Social Change Platform on November 25, 2035?",omission,False,20,2,True,7,"shared topic/object tokens: change, platform, social; possible event completion vs plan/alternative contrast"
633,4:47:4,Is Sarah Garcia's life goal to impact one billion lives positively?,correct,False,20,0,False,0,
636,4:48:1,"Did Sarah Garcia decide to keep her bold patterned blazers after the workshop on Dec 24, 2035?",omission,False,20,1,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
637,4:48:2,"Did Sarah Garcia feel uncertain about her wardrobe transition on Dec 24, 2035?",omission,False,20,1,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
641,4:49:3,"Did Sarah Garcia express a preference for films that lack character development on Jun 10, 2036?",omission,False,20,1,True,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing"
