idx,qa_key,question,question_type,baseline_label,raw_memory_count,suspected_counterevidence_count,top_suspicion_score,top_suspected_reason
16,1:8:5,"What role did Martin transition to on March 01, 2026, that improved his mental health?",Multi-hop Inference,omission,20,4,7,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
17,1:8:6,"How did Martin's change in pet preference reflect his openness to new experiences as of January 10, 2026?",Multi-hop Inference,omission,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
18,1:8:7,"What was the main reason Martin wanted to change his career according to dialogues on December 15, 2025?",Multi-hop Inference,correct,20,4,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
19,1:8:8,"How did Martin's colleagues influence his career transition as discussed on February 05, 2026?",Multi-hop Inference,omission,20,2,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
20,1:9:1,"What type of new physical activity might Martin be interested in trying after April 10, 2026?",Generalization & Application,omission,20,4,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
21,1:9:2,How might Martin's approach to overcoming creative blocks influence his choice of activities in the future?,Generalization & Application,hallucination,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
22,1:9:3,"What activity did Martin participate in during a team-building event on April 10, 2026?",Basic Fact Recall,omission,20,2,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
23,1:10:1,"Based on Martin's interests, what type of non-violent action games could he explore after July 14, 2026?",Generalization & Application,correct,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
24,1:10:2,"What type of games is Martin interested in exploring as of July 14, 2026?",Basic Fact Recall,hallucination,20,3,6,"shared topic/object tokens: gam; negation/contrast cues: avoids, dislikes, opposes; weak preference contrast"
26,1:11:1,"What alternatives is Martin exploring to wellness retreats as of October 16, 2026?",Basic Fact Recall,omission,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
27,1:11:2,What is Martin's middle name?,Memory Boundary,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
28,1:11:3,What was the exact date of Martin's first wellness retreat experience?,Memory Boundary,correct,20,2,5,"shared topic/object tokens: experience, retreat, wellnes; negation/contrast cues: avoids, different"
29,1:12:1,"What is Martin's middle name as of Jan 19, 2027?",Memory Boundary,correct,20,2,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
30,1:12:2,"Did Martin's movie preference shift from fictional narratives to documentaries after a relaxing week on Jan 19, 2027?",Memory Conflict,omission,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
31,1:12:3,What type of movie genres might Martin explore to relax after a stressful week in 2027?,Generalization & Application,hallucination,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
32,1:13:1,"What type of beverage did Martin express enthusiasm about incorporating into his daily routine on April 23, 2027?",Basic Fact Recall,omission,20,2,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
33,1:13:2,"What is Martin's middle name as of April 23, 2027?",Memory Boundary,correct,20,2,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
34,1:13:3,"Based on Martin's evolving beverage preferences on April 23, 2027, what type of drinks might he explore to enhance his yoga practice?",Generalization & Application,hallucination,20,2,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
35,1:14:1,"Given Martin's interest in heavy metal music as of Jul 27, 2027, what type of music might he explore next for relaxation?",Generalization & Application,omission,20,4,10,"shared topic/object tokens: heavy, metal, music, relaxation; negation/contrast cues: avoids, dislikes; temporal/update cues overlap with question timing; weak preference contrast"
36,1:14:2,"What is Martin's middle name as of Jul 27, 2027?",Memory Boundary,correct,20,2,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
37,1:15:1,"What sustainable travel choices might Martin consider after October 29, 2027?",Generalization & Application,omission,20,2,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
38,1:15:2,"What type of clothing does Martin prefer as of October 29, 2027?",Basic Fact Recall,hallucination,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
39,1:15:3,"Did Martin decide to keep using traditional athletic wear after attending the seminar on Oct 29, 2027?",Memory Conflict,omission,20,2,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
40,1:18:1,"What type of reptile did Martin find interesting on Feb 01, 2028?",Basic Fact Recall,omission,20,2,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
41,1:18:2,"Did Martin express a newfound interest in snakes after his visit to the reptile sanctuary on Feb 01, 2028?",Memory Conflict,correct,20,3,6,shared topic/object tokens: snak; negation/contrast cues: dislikes; temporal/update cues overlap with question timing; weak preference contrast
42,1:18:3,What is Martin's middle name?,Memory Boundary,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
43,1:21:1,"What aspect of boxing did Martin appreciate on May 5, 2028?",Basic Fact Recall,omission,20,2,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
44,1:21:2,"Did Martin's perception of boxing remain purely negative after May 05, 2028?",Memory Conflict,omission,20,3,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
45,1:21:3,"Was Martin closed to new experiences and uninterested in sports that challenge him mentally after May 05, 2028?",Memory Conflict,omission,20,6,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
46,1:22:1,"Did Martin retire early from Huaxin Consulting on March 10, 2028?",Memory Conflict,correct,20,6,8,"shared topic/object tokens: consult, huaxin; shared entity/name anchor; possible event completion vs plan/alternative contrast"
47,1:22:2,"Did Martin's social network encourage him to retire early on April 20, 2028?",Memory Conflict,omission,20,3,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
48,1:22:3,"Did Martin officially begin his retirement on June 1, 2028?",Memory Conflict,correct,20,3,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
49,1:22:4,Why did Martin decide to take a sabbatical instead of retiring early?,Multi-hop Inference,omission,20,1,5,"shared topic/object tokens: retir; shared entity/name anchor; negation/contrast cues: no, retired"
50,1:22:5,"What activities does Martin plan to engage in during his sabbatical starting June 1, 2028?",Multi-hop Inference,omission,20,3,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
51,1:22:6,How did Martin's role at Huaxin Consulting affect his decision to take a sabbatical?,Multi-hop Inference,omission,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
52,1:22:7,"What factors contributed to Martin's optimism about his sabbatical starting April 20, 2028?",Multi-hop Inference,omission,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
54,1:22:9,On what date did Martin officially begin his sabbatical?,Basic Fact Recall,omission,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
55,1:22:10,Which activity does Martin plan to engage in during his sabbatical to reduce stress?,Basic Fact Recall,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
56,1:22:11,Who in Martin's social network provided support that influenced his decision to take a sabbatical?,Basic Fact Recall,omission,20,1,5,"shared topic/object tokens: influenc; shared entity/name anchor; negation/contrast cues: no, retired"
57,1:22:12,What is Martin's commitment despite career challenges?,Basic Fact Recall,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
58,1:22:13,What is Martin's emotional state as he begins his sabbatical?,Basic Fact Recall,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
59,1:23:1,"What is Martin's middle name as of Aug 08, 2028?",Memory Boundary,correct,20,3,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
60,1:23:2,"Did Martin express a preference for solo gaming over multiplayer puzzle games on Aug 08, 2028?",Memory Conflict,omission,20,6,8,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; weak preference contrast"
61,1:23:3,"On Aug 08, 2028, did Martin show disinterest in cooperative gaming opportunities?",Memory Conflict,omission,20,4,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
62,1:24:1,"What is Martin Mark's travel preference after his trip on Nov 10, 2028?",Basic Fact Recall,omission,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
63,1:24:2,"What type of destinations should Martin Mark consider visiting after Nov 10, 2028?",Generalization & Application,omission,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
64,1:24:3,"Did Martin Mark express a preference for avoiding crowded tourist spots on Nov 10, 2028?",Memory Conflict,omission,20,5,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
65,1:26:1,What type of horror films should Martin explore next to maintain his positive mindset as of 2029-02-13?,Generalization & Application,hallucination,20,3,7,"shared topic/object tokens: film, horror, maintain, mindset, positive; negation/contrast cues: avoids, dislikes"
66,1:26:2,"Did Martin express a dislike for horror films on February 13, 2029?",Memory Conflict,hallucination,20,5,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
67,1:26:3,What genre of films has Martin Mark recently started to appreciate?,Basic Fact Recall,omission,20,3,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
68,1:29:1,"What type of smoothies did Martin express enthusiasm for on May 18, 2029?",Basic Fact Recall,omission,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
69,1:29:2,How might Martin adapt his smoothie recipes for a high-energy event on 2029-05-20?,Generalization & Application,omission,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
70,1:29:3,"What is Martin's middle name as of May 18, 2029?",Memory Boundary,correct,20,3,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
71,1:30:1,"What is Martin Mark's middle name as of June 15, 2029?",Memory Boundary,correct,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
72,1:30:2,"What is the name of Martin Mark's new colleague mentioned on May 01, 2029?",Memory Boundary,omission,20,4,7,shared topic/object tokens: new; shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
73,1:30:3,"What was Martin Mark's exact weight on March 10, 2029?",Memory Boundary,correct,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
74,1:30:4,Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?,Memory Conflict,omission,20,6,8,"shared topic/object tokens: consult, director, huaxin; shared entity/name anchor; negation/contrast cues: employed; temporal/update cues overlap with question timing"
75,1:30:5,Did Martin's mental health improve after his promotion in March 2029?,Memory Conflict,omission,20,4,7,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
76,1:30:6,Did Martin Mark express optimism about his future role as Senior Director before June 2029?,Memory Conflict,hallucination,20,7,7,shared topic/object tokens: role; shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
77,1:30:7,"What is Martin Mark's current mental health status as of Mar 10, 2029?",Dynamic Update,hallucination,20,6,7,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
78,1:30:8,"What stress management activities has Martin Mark incorporated into his routine by Jun 15, 2029?",Dynamic Update,correct,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
79,1:31:1,"What music genre captivated Martin Mark on Aug 21, 2029?",Basic Fact Recall,omission,20,5,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
80,1:31:2,What type of music might Martin explore to enhance his creativity in September 2029?,Generalization & Application,hallucination,20,2,4,"shared topic/object tokens: creativity, music; negation/contrast cues: avoids, dislikes"
81,1:31:3,"What is Martin Mark's middle name as of Aug 21, 2029?",Memory Boundary,correct,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
82,1:32:1,"What is Martin Mark's favorite color as of November 23, 2029?",Memory Boundary,omission,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
83,1:32:2,What type of attire might Martin choose for a business conference in December 2029?,Generalization & Application,hallucination,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
84,1:32:3,"Did Martin Mark decide to switch to casual attire on Nov 23, 2029, to enhance professionalism?",Memory Conflict,omission,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
85,1:33:1,Did Martin Mark decide to exclude Sphynx cats from his pet preferences after visiting his colleague's home on 2030-02-26?,Memory Conflict,omission,20,5,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
86,1:33:2,"What pet preference did Martin Mark modify on Feb 26, 2030?",Basic Fact Recall,omission,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
87,1:33:3,"Based on Martin Mark's preferences as of Feb 26, 2030, what other pet breeds might he explore for companionship?",Generalization & Application,hallucination,20,2,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
88,1:34:1,"What event did Martin Mark attend on May 31, 2030?",Basic Fact Recall,omission,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
89,1:34:2,"Did Martin Mark's perception of wrestling remain negative after attending a live event on May 31, 2030?",Memory Conflict,omission,20,4,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
90,1:34:3,What is Martin Mark's middle name?,Memory Boundary,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
91,1:35:1,"What is Martin's friend's name who recovered from gambling addiction as of Sep 04, 2030?",Memory Boundary,correct,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
92,1:35:2,What specific games does Martin play that align with responsible gaming practices?,Memory Boundary,hallucination,20,2,4,"shared topic/object tokens: gam; negation/contrast cues: avoids, dislikes, opposes"
93,1:35:3,"Did Martin express skepticism about responsible gaming practices during his friend's recovery on Sep 04, 2030?",Memory Conflict,omission,20,4,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
94,1:36:1,"Did Martin Mark abandon conservation-focused hikes after December 06, 2030?",Memory Conflict,omission,20,5,7,"shared topic/object tokens: focus; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing"
95,1:36:2,What type of leisure activities might Martin Mark consider for his next trip in 2031?,Generalization & Application,hallucination,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
96,1:36:3,What type of hikes has Martin Mark's travel preferences evolved to include?,Basic Fact Recall,correct,20,2,4,"shared entity/name anchor; negation/contrast cues: no, retired"
97,1:37:1,"What is Martin's middle name as of Mar 11, 2031?",Memory Boundary,correct,20,3,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
98,1:37:2,"What was the title of the slasher film Martin discussed on Mar 11, 2031?",Memory Boundary,omission,20,4,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
99,1:37:3,"On Mar 11, 2031, what genre of films did Martin reconsider his stance on?",Basic Fact Recall,hallucination,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
100,1:38:1,"What article did Martin Mark read on Jun 13, 2031?",Basic Fact Recall,omission,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
101,1:38:2,"What is Martin Mark's beverage preference as of Jun 13, 2031?",Basic Fact Recall,correct,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
102,1:38:3,"What is Martin Mark's middle name as of Jun 13, 2031?",Memory Boundary,correct,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
103,1:40:1,"What genre of music did Martin Mark use for stress relief during work challenges on Sep 16, 2031?",Basic Fact Recall,omission,20,5,12,"shared topic/object tokens: relief, work; shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast"
104,1:40:2,"What activity does Martin Mark incorporate into his late-night routine to unwind after demanding days as of Sep 16, 2031?",Basic Fact Recall,hallucination,20,5,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
105,1:40:3,"Did Martin Mark find rock music therapeutic during stressful periods at work on Sep 16, 2031?",Memory Conflict,omission,20,4,11,shared topic/object tokens: work; shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast
106,1:43:1,"Did Martin Mark decide to expand his collection of formal wear on Dec 20, 2031?",Memory Conflict,correct,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
107,1:43:2,"What clothing preference did Martin Mark express on Dec 20, 2031?",Basic Fact Recall,omission,20,5,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
108,1:43:3,"What clothing style might Martin Mark prefer for a hiking trip after Dec 20, 2031?",Generalization & Application,correct,20,4,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
109,1:44:1,How might Martin use his financial stability to support his humanitarian goals in 2032?,Generalization & Application,omission,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
110,1:44:2,What strategies might Martin use to maintain a balanced lifestyle and professional performance in 2032?,Generalization & Application,omission,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
111,1:44:3,"Did Martin experience a decrease in financial freedom after his salary increase on August 15, 2031?",Memory Conflict,omission,20,4,7,"shared topic/object tokens: august; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
112,1:44:4,"Did Martin's lifestyle changes after his salary increase lead to decreased job satisfaction by December 1, 2031?",Memory Conflict,hallucination,20,4,6,"shared topic/object tokens: lead, lifestyle; possible event completion vs plan/alternative contrast"
113,1:45:1,"What kind of pet ownership practices might Martin adopt after March 23, 2032?",Generalization & Application,omission,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
114,1:45:2,"What is Martin's pet preference as of Mar 23, 2032?",Basic Fact Recall,hallucination,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
115,1:45:3,"What is Martin's middle name as of March 23, 2032?",Memory Boundary,correct,20,3,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
116,1:46:1,"What sport did Martin Mark express excitement about on June 25, 2032?",Basic Fact Recall,omission,20,5,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
117,1:46:2,"What is Martin Mark's middle name as of June 25, 2032?",Memory Boundary,correct,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
118,1:46:3,"What new sports might Martin Mark explore after June 25, 2032, given his interest in eco-friendly racing?",Generalization & Application,omission,20,5,7,shared topic/object tokens: new; shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
119,1:47:1,What type of leisure activity might Martin Mark explore next based on his interest in narrative-driven games as of 2032-09-28?,Generalization & Application,correct,20,2,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
120,1:47:2,"What type of games has Martin Mark recently started appreciating as of Sep 28, 2032?",Basic Fact Recall,omission,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
121,1:47:3,What is Martin Mark's middle name?,Memory Boundary,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
122,1:48:1,Did Martin decide to exclude cultural tours from his travel preferences as of 2032-12-31?,Memory Conflict,correct,20,5,7,"shared topic/object tokens: travel; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing"
123,1:48:2,What type of tours should Martin consider for his travel plans in 2033 to align with his interests?,Generalization & Application,hallucination,20,3,5,"shared topic/object tokens: align, travel; negation/contrast cues: no, no longer"
124,1:48:3,"What travel preference did Martin express on Dec 31, 2032?",Basic Fact Recall,omission,20,5,7,"shared topic/object tokens: travel; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing"
125,1:49:1,What is Martin's middle name?,Memory Boundary,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
126,1:53:1,"How did Martin's promotion on April 25, 2033, impact his health practices by June 15, 2033?",Multi-hop Inference,omission,20,4,7,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
127,1:53:2,"What is Martin Mark's current job title as of June 15, 2033?",Dynamic Update,omission,20,5,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
128,1:53:3,"What is Martin Mark's latest physical health status as of May 10, 2033?",Dynamic Update,correct,20,4,7,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
129,1:53:4,"How has Martin Mark's monthly income changed by April 25, 2033?",Dynamic Update,omission,20,5,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
130,1:53:5,"How might Martin's commitment to yoga and meditation benefit his team in future projects after June 15, 2033?",Generalization & Application,omission,20,3,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
131,1:53:6,"What impact might Martin's improved health have on his career development after May 25, 2033?",Generalization & Application,omission,20,4,7,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
132,1:54:1,"Did Martin Mark express a preference for regular green tea after the tea expo on Jul 08, 2033?",Memory Conflict,omission,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
133,1:54:2,"What type of beverage might Martin prefer at a health-focused event after Jul 08, 2033?",Generalization & Application,hallucination,20,4,7,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
134,1:54:3,"What type of tea did Martin Mark prefer after attending the tea expo on Jul 08, 2033?",Basic Fact Recall,omission,20,4,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
135,1:55:1,"Did Martin Mark express disinterest in socially conscious rap music on October 11, 2033?",Memory Conflict,omission,20,5,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
136,1:55:2,"What type of rap music did Martin Mark's preferences evolve to include as of October 11, 2033?",Basic Fact Recall,omission,20,6,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
137,1:55:3,"What type of music might Martin explore to align with his values after October 11, 2033?",Generalization & Application,hallucination,20,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
138,1:56:1,What is Martin Mark's middle name?,Memory Boundary,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
139,1:56:2,What was the exact date when Martin Mark first started researching organic materials?,Memory Boundary,omission,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
140,1:56:3,"Did Martin Mark express skepticism about the impact of sustainable clothing on his lifestyle and the environment on January 13, 2034?",Memory Conflict,correct,20,5,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
141,1:57:1,What is Martin Mark's middle name?,Memory Boundary,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
142,1:57:2,"What was the exact number of therapy sessions Martin Mark attended on Apr 18, 2034?",Memory Boundary,correct,20,4,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
143,1:57:3,"What type of dog did Martin Mark recently develop a preference for on Apr 18, 2034?",Basic Fact Recall,correct,20,4,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
144,1:58:1,"What is Martin Mark's current movie preference as of July 21, 2034?",Basic Fact Recall,hallucination,20,5,6,shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing
145,1:58:2,Who recommended the psychological thriller to Martin Mark that influenced his movie preferences?,Basic Fact Recall,omission,20,1,5,"shared topic/object tokens: influenc; shared entity/name anchor; negation/contrast cues: no, retired"
146,1:58:3,"What is Martin Mark's friend's name who recommended the psychological thriller on July 21, 2034?",Memory Boundary,correct,20,5,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
