idx,qa_key,question,question_type,baseline_label,r3a_triggered,memory_index,memory_text,topic_overlap_score,negation_or_contrast_score,temporal_conflict_score,preference_reversal_score,event_denial_score,total_suspicion_score,suspected_reason,r3a_rejected_reason_if_available,priority_group,manual_has_retrieved_counterevidence,manual_counterevidence_label,manual_should_r3a_trigger,manual_failure_source,manual_notes
1031,6:59:3,"Did Donna's dislike for rodents persist after May 21, 2039?",Memory Conflict,omission,False,4,"User's father was born on December 15, 1966, is a retired engineer, and inspired Donna's interest in technology.",3,1,2,5,0,11,shared topic/object tokens: donna'; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2282,14:15:2,"Did Williams Daniel dislike roast duck with plum sauce after visiting the gourmet historical restaurant on Jul 25, 2027?",Memory Conflict,omission,False,4,"User's father was born on June 16, 1954, is a retired history professor, and inspired Williams's love for historical accuracy.",3,1,2,5,0,11,shared topic/object tokens: historical; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2321,14:29:3,"Did Williams Daniel express skepticism about the potential of science fiction films for historical storytelling on Nov 18, 2029?",Memory Conflict,omission,False,9,"User's father was born on June 16, 1954, is a retired history professor, and inspired Williams's love for historical accuracy.",3,1,2,5,0,11,shared topic/object tokens: historical; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2765,17:12:1,"Did Donald Smith decide to embrace structured travel over backpacking on Jul 26, 2027?",Memory Conflict,omission,False,1,"User dislikes backpacking, adventure‑sport trips, and solo travel, finding them unpredictable or distracting, and instead prefers organized travel with companions that allows him to stay connected and focused on supporting his relative's campaign goals.",2,3,0,2,4,11,"shared topic/object tokens: backpack, travel; negation/contrast cues: dislikes, instead; weak preference contrast; possible event completion vs plan/alternative contrast",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
3237,19:58:3,"Did Barbara decide to stop watching films about scientific breakthroughs after June 13, 2038?",Memory Conflict,omission,False,3,"During the conversation, the filmmaker explained that fictional portrayals can inspire creativity and innovation in scientific research, a concept Barbara had not considered before.",4,1,2,0,4,11,"shared topic/object tokens: barbara, scientific; shared entity/name anchor; negation/contrast cues: not; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
177,2:9:2,"Did Johnson Joseph's Albi B&B host over 10,000 guests by Jun 21, 2026?",Memory Conflict,omission,False,10,"User's primary life goal is to become a leading figure in the hospitality industry by transforming his bed and breakfast into a world‑renowned destination, hosting over 10,000 guests annually, earning international hospitality awards, and expanding the business to multiple locations.",4,0,0,2,4,10,"shared topic/object tokens: 000, guest, host, over; weak preference contrast; possible event completion vs plan/alternative contrast",temporal_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
244,2:38:1,"Did Johnson Joseph decide against offering guided hiking tours at Albi B&B on Dec 21, 2033?",Memory Conflict,omission,False,15,"User's perception of snakes shifted from fear to admiration, and he now intends to incorporate this newfound interest into guest experiences at his Albi B&B.",3,0,3,0,4,10,shared topic/object tokens: albi; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
286,2:53:1,"Did Johnson Joseph's income decrease to $2000 after adopting eco-conscious practices at Albi B&B on Jun 15, 2037?",Memory Conflict,omission,False,18,"User's perception of snakes shifted from fear to admiration, and he now intends to incorporate this newfound interest into guest experiences at his Albi B&B.",3,0,3,0,4,10,shared topic/object tokens: albi; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
335,2:71:1,"Did Johnson Joseph decide to exclude dogs from Albi B&B on September 12, 2042?",Memory Conflict,omission,False,18,"User's perception of snakes shifted from fear to admiration, and he now intends to incorporate this newfound interest into guest experiences at his Albi B&B.",3,0,3,0,4,10,shared topic/object tokens: albi; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
466,3:42:3,"Did Donald Brown express a preference for nature retreats over cultural festivals on July 09, 2032?",Memory Conflict,omission,False,1,Donald is considering nature retreats and cultural immersion trips as activities that align with his interests and can further enhance his well‑being after retirement.,6,0,2,2,0,10,"shared topic/object tokens: cultural, donald, nature, retreat; shared entity/name anchor; temporal/update cues overlap with question timing; weak preference contrast",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
743,5:14:3,"Did Donna Gonzalez dislike loud parrots after visiting her friend's house on Dec 18, 2027?",Memory Conflict,omission,False,3,"User's mother, born May 6, 1952, is a former concert pianist who instilled a love for classical music in Donna.",3,0,2,5,0,10,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
743,5:14:3,"Did Donna Gonzalez dislike loud parrots after visiting her friend's house on Dec 18, 2027?",Memory Conflict,omission,False,4,"User's father, born May 6, 1952, is a retired music teacher who inspired Donna's early interest in music.",2,1,2,5,0,10,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
821,5:43:3,"Did Donna Gonzalez continue to dislike soccer after attending a match on Feb 20, 2034?",Memory Conflict,omission,False,7,"User's mother, born May 6, 1952, is a former concert pianist who instilled a love for classical music in Donna.",3,0,2,5,0,10,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
821,5:43:3,"Did Donna Gonzalez continue to dislike soccer after attending a match on Feb 20, 2034?",Memory Conflict,omission,False,8,"User's father, born May 6, 1952, is a retired music teacher who inspired Donna's early interest in music.",2,1,2,5,0,10,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
966,6:33:3,"Did Donna express a dislike for first-person shooter games after March 25, 2033?",Memory Conflict,omission,False,4,"User's father was born on December 15, 1966, is a retired engineer, and inspired Donna's interest in technology.",2,1,2,5,0,10,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
1013,6:54:3,"Did Donna decide to avoid locally sourced fruits on January 24, 2038?",Memory Conflict,omission,False,4,"User's father was born on December 15, 1966, is a retired engineer, and inspired Donna's interest in technology.",2,1,2,5,0,10,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
1013,6:54:3,"Did Donna decide to avoid locally sourced fruits on January 24, 2038?",Memory Conflict,omission,False,9,"User attended a local strategy game tournament on January 27, 2027, found the competitive atmosphere intense and overwhelming, and began rethinking their interest in strategy games.",3,0,2,5,0,10,shared topic/object tokens: january; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
1197,7:60:3,"Did Taylor David express satisfaction with herbal teas for maintaining energy during meal planning on Jul 29, 2038?",Memory Conflict,omission,False,1,"User has been feeling quite stressed during intense meal‑plan planning phases and reports that herbal teas, which previously helped him relax, are no longer effective as of mid‑October 2027.",4,3,3,0,0,10,"shared topic/object tokens: herbal, meal, plann, tea; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2251,14:4:3,"Did Williams Daniel dislike Earl Grey tea after visiting the historic tea house on Jan 06, 2026?",Memory Conflict,omission,False,2,"User's father was born on June 16, 1954, is a retired history professor, and inspired Williams's love for historical accuracy.",2,1,2,5,0,10,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2317,14:28:1,"Did Williams Daniel express dislike for traditional style burgers after watching the documentary on August 16, 2029?",Memory Conflict,omission,False,4,"User's father was born on June 16, 1954, is a retired history professor, and inspired Williams's love for historical accuracy.",2,1,2,5,0,10,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2330,14:35:3,"Did Williams Daniel express disinterest in historically influenced pop music at the film festival on Aug 27, 2030?",Memory Conflict,omission,False,6,"User's father was born on June 16, 1954, is a retired history professor, and inspired Williams's love for historical accuracy.",2,1,2,5,0,10,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2352,14:41:1,"Did Williams Daniel express disinterest in collaborating with costume designers on Dec 11, 2031?",Memory Conflict,omission,False,7,"User's father was born on June 16, 1954, is a retired history professor, and inspired Williams's love for historical accuracy.",2,1,2,5,0,10,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2481,15:26:1,"Did Steven Miller express a dislike for first-person shooters with strategic elements at the gaming convention on Jul 09, 2029?",Memory Conflict,omission,False,1,"User likes playing strategy games that challenge his analytical skills and help him unwind after trading, enjoys puzzle games for mental stimulation and relaxation, and dislikes first-person shooters because they are too chaotic and he prefers games requiring strategic thinking.",5,1,2,2,0,10,"shared topic/object tokens: first, gam, person, shooter, strategic; negation/contrast cues: dislikes; temporal/update cues overlap with question timing; weak preference contrast",object_specificity_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2710,16:50:1,"Did Oleksandr express a dislike for solo hiking on August 27, 2035?",Memory Conflict,omission,False,4,"User's interest in art and creativity emerged and blossomed around August 10, 2026, marking a new personal passion.",3,0,2,5,0,10,shared topic/object tokens: august; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
3282,19:76:3,"Did Barbara decide to avoid adding seeds to her avocado toast on Sep 05, 2042?",Memory Conflict,omission,False,7,"During the conversation, the filmmaker explained that fictional portrayals can inspire creativity and innovation in scientific research, a concept Barbara had not considered before.",3,1,2,0,4,10,shared topic/object tokens: barbara; shared entity/name anchor; negation/contrast cues: not; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
3451,20:61:3,"On Mar 20, 2035, did Christopher plan to avoid community screenings of documentaries?",Memory Conflict,omission,False,3,"Assistant noted that Christopher rediscovered his appreciation for scenic train journeys with solitude and introspection on April 8, 2026, emphasizing the calming rhythmic sound and passing landscapes.",3,0,2,5,0,10,shared topic/object tokens: christopher; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,,P1_memory_conflict_omission_untriggered_suspected,,,,,
3453,20:63:2,"Did Christopher express disinterest in using puzzle games for community engagement on Jun 21, 2035?",Memory Conflict,omission,False,3,"Assistant noted that Christopher rediscovered his appreciation for scenic train journeys with solitude and introspection on April 8, 2026, emphasizing the calming rhythmic sound and passing landscapes.",3,0,2,5,0,10,shared topic/object tokens: christopher; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
147,1:59:1,"Did Martin Mark express a preference for traditional herbal teas over potent health beverages on Oct 24, 2034?",Memory Conflict,omission,False,9,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",3,2,2,2,0,9,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; weak preference contrast",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
152,1:60:3,"Did Martin Mark express a preference for ambient music over jazz on Jan 26, 2035?",Memory Conflict,omission,False,2,"User dislikes heavy metal as it feels too chaotic, preferring soothing and harmonious music; he likes classical music for relaxation and focus, creating a peaceful atmosphere; he enjoys jazz for its improvisational style that stimulates creativity; he avoids rap music because it often feels too aggressive, preferring genres that promote positivity; he likes ambient music for unwinding after a busy day, helping him relax and recharge.",3,2,2,2,0,9,"shared topic/object tokens: ambient, jazz, music; negation/contrast cues: avoids, dislikes; temporal/update cues overlap with question timing; weak preference contrast",object_specificity_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
215,2:23:3,"Did Johnson Joseph express a strong dislike for cats on Nov 12, 2029, without any change in perception?",Memory Conflict,omission,False,6,"User's perception of snakes shifted from fear to admiration, and he now intends to incorporate this newfound interest into guest experiences at his Albi B&B.",1,0,3,5,0,9,shared topic/object tokens: perception; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
299,2:56:1,"Did Johnson Joseph always dislike fantasy novels, even after a friend's recommendation on 2039-02-08?",Memory Conflict,omission,False,11,"User's cognitive clarity motivation leads him to view horror films as a balanced leisure activity, even though he now prefers thrillers.",1,0,3,5,0,9,shared topic/object tokens: even; temporal/update cues overlap with question timing; possible preference polarity reversal,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
423,3:28:3,"Did Donald Brown decide to exclude spicy elements from his regular cooking routine after the class on Dec 25, 2029?",Memory Conflict,omission,False,7,"Donald plans to weave mindfulness and cultural understanding into his daily routine, intending to practice meditation and read about different cultures regularly.",4,1,0,0,4,9,"shared topic/object tokens: donald, routine; shared entity/name anchor; negation/contrast cues: different; possible event completion vs plan/alternative contrast",temporal_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
423,3:28:3,"Did Donald Brown decide to exclude spicy elements from his regular cooking routine after the class on Dec 25, 2029?",Memory Conflict,omission,False,8,Donald is considering nature retreats and cultural immersion trips as activities that align with his interests and can further enhance his well‑being after retirement.,3,0,2,0,4,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
430,3:30:4,"Did Donald Brown retire permanently after August 07, 2029?",Memory Conflict,omission,False,7,Donald is considering nature retreats and cultural immersion trips as activities that align with his interests and can further enhance his well‑being after retirement.,3,0,2,0,4,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
436,3:31:3,"Did Donald Brown express a preference for nature retreats over culturally immersive travel experiences on Jul 19, 2030?",Memory Conflict,omission,False,1,Donald is considering nature retreats and cultural immersion trips as activities that align with his interests and can further enhance his well‑being after retirement.,5,0,2,2,0,9,"shared topic/object tokens: donald, nature, retreat; shared entity/name anchor; temporal/update cues overlap with question timing; weak preference contrast",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
446,3:35:1,"Did Donald Brown decide to stop participating in endurance events after the half-marathon on Sep 04, 2031?",Memory Conflict,omission,False,4,Donald is considering nature retreats and cultural immersion trips as activities that align with his interests and can further enhance his well‑being after retirement.,3,0,2,0,4,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
452,3:40:1,"Did Donald Brown decide to stick with comfortable sneakers on Mar 28, 2032?",Memory Conflict,omission,False,7,Donald is considering nature retreats and cultural immersion trips as activities that align with his interests and can further enhance his well‑being after retirement.,3,0,2,0,4,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
470,3:44:1,"Did Donald Brown find opera music unappealing and decide not to attend any more performances after the event on Jan 30, 2033?",Memory Conflict,omission,False,1,Donald intends to attend conferences and networking events related to technology and accessibility as a strategy to meet potential collaborators.,5,0,0,0,4,9,"shared topic/object tokens: attend, donald, event; shared entity/name anchor; possible event completion vs plan/alternative contrast",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
470,3:44:1,"Did Donald Brown find opera music unappealing and decide not to attend any more performances after the event on Jan 30, 2033?",Memory Conflict,omission,False,8,Donald is considering nature retreats and cultural immersion trips as activities that align with his interests and can further enhance his well‑being after retirement.,3,0,2,0,4,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
488,3:51:7,"Did Donald Brown's monthly income decrease to 5000 after he started working at TechConsult Solutions on May 10, 2033?",Memory Conflict,omission,False,15,Donald is considering nature retreats and cultural immersion trips as activities that align with his interests and can further enhance his well‑being after retirement.,3,0,2,0,4,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
1013,6:54:3,"Did Donna decide to avoid locally sourced fruits on January 24, 2038?",Memory Conflict,omission,False,1,"User decided to step away from strategy games as of January 28, 2027, because they no longer provide the relaxation they seek.",3,3,3,0,0,9,"shared topic/object tokens: january; shared entity/name anchor; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing",premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
1179,7:51:3,"Did Taylor David maintain his dislike for competitive weightlifting after July 10, 2036?",Memory Conflict,omission,False,4,"User's father was born on November 6, 1979, works in the healthcare industry, and his career inspired Taylor's interest in health.",2,0,2,5,0,9,shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
1233,7:74:1,"Did Taylor David express disinterest in using games for children's nutrition education on Sep 04, 2042?",Memory Conflict,omission,False,8,"User's father was born on November 6, 1979, works in the healthcare industry, and his career inspired Taylor's interest in health.",2,0,2,5,0,9,shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
1236,7:75:1,"Did Taylor David express a dislike for films addressing societal issues on Mar 10, 2043?",Memory Conflict,omission,False,4,"User's father was born on November 6, 1979, works in the healthcare industry, and his career inspired Taylor's interest in health.",2,0,2,5,0,9,shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
1281,8:12:14,"Did Ananya Sharma express a desire to work with filmmakers who do not share her vision for Indian storytelling on Sep 01, 2026?",Memory Conflict,omission,False,1,"User's primary life goal is to promote Indian cinema globally and influence the film industry through insightful critiques, motivated by a childhood love of storytelling and a desire to see Indian stories represented worldwide",5,0,0,0,4,9,"shared topic/object tokens: desire, indian, storytell; shared entity/name anchor; possible event completion vs plan/alternative contrast",premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
