excel_row,样本编号,问题编号,问题,R0标签,R3a标签,R3a是否触发,记忆编号,候选记忆文本,自动拒绝原因,候选类型,自动抽取主体,自动抽取槽位,自动抽取声明值,自动抽取时间条件,自动门控轨迹,自动失败来源,人工_是否有已检索反证,人工_问题前提抽取是否正确,人工_槽位归类是否正确,人工_这条记忆是否反驳问题前提,人工_是否本该触发R3a,人工_自动拒绝是否合理,人工_失败来源,人工_审计备注,审计者,复核状态,复核备注
4,29,1:12:2,"Did Martin's movie preference shift from fictional narratives to documentaries after a relaxing week on Jan 19, 2027?",omission,omission,False,1,"User likes documentaries because they are informative and provide real‑world insights that complement his thirst for knowledge; he avoids horror films as they can be disturbing and undermine the positive mindset he strives to maintain; he also dislikes slasher films due to excessive violence, preferring movies with meaningful narratives.",slot_mismatch,slot_value_near_miss,Martin,transition,fictional narratives -> documentaries,"shift from; after a relaxing week on Jan 19; Jan 19, 2027","premise_anchor:True:pass:shared anchor tokens: narrativ, narratives | slot_value_alignment:False:slot_mismatch:transition premise needs same preference/action value | temporal_compatibility:False:not_evaluated: | explicit_refutation:False:not_evaluated:",no_counterevidence_in_raw_memories,没有,正确,正确,不是反证但有用,不该触发,合理,,Memory mentions documentaries and narratives but does not show a shift from fictional narratives.,陆含,未复核,
15,45,1:21:2,"Did Martin's perception of boxing remain purely negative after May 05, 2028?",omission,omission,False,14,"Martin transitioned to a new role, reporting huge relief and a much healthier balance between work and personal life, marking a significant improvement over his previous position.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,negative may 2028,"after May 05; May 05, 2028",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,部分正确,过宽,不是反证,不该触发,合理,,Job transition does not address whether boxing perception remained negative.,陆含,未复核,
16,47,1:22:2,"Did Martin's social network encourage him to retire early on April 20, 2028?",omission,omission,False,4,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,early april 2028,"on April 20; April 20, 2028",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,部分正确,过宽,不是反证,不该触发,合理,,Family background does not address social-network encouragement to retire.,陆含,未复核,
17,47,1:22:2,"Did Martin's social network encourage him to retire early on April 20, 2028?",omission,omission,False,8,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,early april 2028,"on April 20; April 20, 2028",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,部分正确,过宽,不是反证,不该触发,合理,,Identity information does not address social-network encouragement to retire.,陆含,未复核,
18,47,1:22:2,"Did Martin's social network encourage him to retire early on April 20, 2028?",omission,omission,False,10,"Martin transitioned to a new role, reporting huge relief and a much healthier balance between work and personal life, marking a significant improvement over his previous position.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,early april 2028,"on April 20; April 20, 2028",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,部分正确,过宽,不是反证但有用,不该触发,合理,,New role information is career-related but does not refute social-network encouragement to retire.,陆含,未复核,
19,59,1:23:2,"Did Martin express a preference for solo gaming over multiplayer puzzle games on Aug 08, 2028?",omission,omission,False,1,"User dislikes violent video games because they promote aggression, which opposes his values of peace and well‑being; he likes puzzle games as they challenge his mind and improve problem‑solving skills crucial to his profession; he also avoids gambling games due to their potential for addiction and financial stress, which are detrimental to mental health.",object_specificity_mismatch,slot_value_near_miss,Martin,preference_status,solo gaming over multiplayer puzzle games,"on Aug 08; Aug 08, 2028",premise_anchor:True:pass:shared anchor tokens: puzzle | slot_value_alignment:False:object_specificity_mismatch:preference object is too generic | temporal_compatibility:False:not_evaluated: | explicit_refutation:False:not_evaluated:,slot_mapping_error,没有,正确,正确,不是反证但有用,不该触发,合理,,The memory likes puzzle games but does not address solo gaming over multiplayer puzzle games.,陆含,未复核,
20,63,1:24:3,"Did Martin Mark express a preference for avoiding crowded tourist spots on Nov 10, 2028?",omission,omission,False,1,"User likes wellness retreats for relaxation and activities that promote physical and mental health, aligning with his lifestyle; he avoids crowded tourist spots because they can be overwhelming and stressful; he enjoys nature hikes to connect with the environment and experience tranquility as an escape from his busy work life; he likes cultural tours for insights into different lifestyles and traditions, and spa vacations for unwinding and rejuvenation to maintain life balance.",not_refuting,related_but_not_refuting,Martin Mark,preference_status,avoiding crowded tourist spots,"on Nov 10; Nov 10, 2028","premise_anchor:True:pass:shared anchor tokens: crowd, crowded, spot, spots, tourist | slot_value_alignment:True:pass:same preference value | temporal_compatibility:True:pass:stable opposite preference can refute dated preference utterance | explicit_refutation:False:not_refuting:memory is compatible with the premise or only supports it",slot_mapping_error,没有,正确,正确,不是反证但有用,不该触发,合理,,"The memory supports avoiding crowded tourist spots, so it is useful but not a refutation.",陆含,未复核,
21,74,1:30:4,Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?,omission,omission,False,10,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,occur june 2029,after June 2029,premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,no_counterevidence_in_raw_memories,没有,部分正确,过宽,不是反证,不该触发,合理,,Family background does not address the Senior Director promotion timing.,陆含,未复核,
22,74,1:30:4,Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?,omission,omission,False,11,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,occur june 2029,after June 2029,premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,no_counterevidence_in_raw_memories,没有,部分正确,过宽,不是反证,不该触发,合理,,Identity information does not address the Senior Director promotion timing.,陆含,未复核,
23,74,1:30:4,Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?,omission,omission,False,12,"Yoga remains a staple in Martin’s routine, complementing the more intense activities and supporting his mental clarity.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,occur june 2029,after June 2029,premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,no_counterevidence_in_raw_memories,没有,部分正确,过宽,不是反证,不该触发,合理,,Yoga routine does not address the Senior Director promotion timing.,陆含,未复核,
24,75,1:30:5,Did Martin's mental health improve after his promotion in March 2029?,omission,omission,False,1,"Martin says the new role has noticeably improved his mental health, relieving the stress and pressure that his former job had imposed on him.",not_refuting,related_but_not_refuting,Martin,health_status,health,after his promotion in March 2029,premise_anchor:True:pass:same health/status domain | slot_value_alignment:True:pass:same health/status slot | temporal_compatibility:True:pass:health/status proposition has compatible trajectory semantics | explicit_refutation:False:not_refuting:health evidence does not contradict the premise,slot_mapping_error,没有,部分正确,正确,不是反证但有用,不该触发,合理,,"The memory supports mental-health improvement, so it is useful but not a refutation.",陆含,未复核,
25,75,1:30:5,Did Martin's mental health improve after his promotion in March 2029?,omission,omission,False,2,"Despite a challenging journey, Martin feels hopeful and optimistic about finding a role that supports both his career ambitions and personal health.",not_refuting,related_but_not_refuting,Martin,health_status,health,after his promotion in March 2029,premise_anchor:True:pass:same health/status domain | slot_value_alignment:True:pass:same health/status slot | temporal_compatibility:True:pass:health/status proposition has compatible trajectory semantics | explicit_refutation:False:not_refuting:health evidence does not contradict the premise,slot_mapping_error,没有,部分正确,正确,不是反证但有用,不该触发,合理,,The memory is related to career and health but does not refute improvement after promotion.,陆含,未复核,
26,75,1:30:5,Did Martin's mental health improve after his promotion in March 2029?,omission,omission,False,4,User reflected that his current role as director at Huaxin Consulting is negatively affecting his mental health and recognized the need for a career change.,not_refuting,related_but_not_refuting,Martin,health_status,health,after his promotion in March 2029,premise_anchor:True:pass:same health/status domain | slot_value_alignment:True:pass:same health/status slot | temporal_compatibility:True:pass:health/status proposition has compatible trajectory semantics | explicit_refutation:False:not_refuting:health evidence does not contradict the premise,slot_mapping_error,明确有,部分正确,正确,真反证,应该触发,不合理,明确反驳判断过严,"The memory says the current role negatively affects mental health, contradicting improvement.",陆含,未复核,
27,84,1:33:1,Did Martin Mark decide to exclude Sphynx cats from his pet preferences after visiting his colleague's home on 2030-02-26?,omission,omission,False,1,"User’s emerging preference for Golden Retrievers reflects his openness to new experiences and interactions, marking a shift from his previous focus on Labradors.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,colleague' home 2030,decide to; after visiting his colleague's home on 2030-02-26; 2030-02-26,premise_anchor:True:pass:shared anchor tokens: mark | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,错误,过宽,不是反证但有用,不该触发,合理,,Golden Retriever preference is pet-related but does not address excluding Sphynx cats.,陆含,未复核,
28,84,1:33:1,Did Martin Mark decide to exclude Sphynx cats from his pet preferences after visiting his colleague's home on 2030-02-26?,omission,omission,False,2,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,colleague' home 2030,decide to; after visiting his colleague's home on 2030-02-26; 2030-02-26,"premise_anchor:True:pass:shared anchor tokens: mark, martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value",premise_extraction_error,没有,错误,过宽,不是反证,不该触发,合理,,Identity information does not address excluding Sphynx cats.,陆含,未复核,
29,84,1:33:1,Did Martin Mark decide to exclude Sphynx cats from his pet preferences after visiting his colleague's home on 2030-02-26?,omission,omission,False,6,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,colleague' home 2030,decide to; after visiting his colleague's home on 2030-02-26; 2030-02-26,premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,错误,过宽,不是反证,不该触发,合理,,Family background does not address excluding Sphynx cats.,陆含,未复核,
30,87,1:32:3,"Did Martin Mark decide to switch to casual attire on Nov 23, 2029, to enhance professionalism?",omission,omission,False,2,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,2029 enhance professionalism,"decide to; on Nov 23; Nov 23, 2029","premise_anchor:True:pass:shared anchor tokens: mark, martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value",premise_extraction_error,没有,错误,过宽,不是反证,不该触发,合理,,Identity information does not address switching to casual attire.,陆含,未复核,
31,87,1:32:3,"Did Martin Mark decide to switch to casual attire on Nov 23, 2029, to enhance professionalism?",omission,omission,False,3,"Martin transitioned to a new role, reporting huge relief and a much healthier balance between work and personal life, marking a significant improvement over his previous position.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,2029 enhance professionalism,"decide to; on Nov 23; Nov 23, 2029","premise_anchor:True:pass:shared anchor tokens: mark, martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value",premise_extraction_error,没有,错误,过宽,不是反证,不该触发,合理,,Job transition does not address switching to casual attire for professionalism.,陆含,未复核,
32,87,1:32:3,"Did Martin Mark decide to switch to casual attire on Nov 23, 2029, to enhance professionalism?",omission,omission,False,5,"Martin tried simulated skydiving during a team‑building event on April 10, 2026 and found the experience quite thrilling.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,2029 enhance professionalism,"decide to; on Nov 23; Nov 23, 2029",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,错误,过宽,不是反证,不该触发,合理,,Simulated skydiving does not address switching to casual attire.,陆含,未复核,
33,91,1:34:2,"Did Martin Mark's perception of wrestling remain negative after attending a live event on May 31, 2030?",omission,omission,False,1,"Martin tried simulated skydiving during a team‑building event on April 10, 2026 and found the experience quite thrilling.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,event may 2030,"after attending a live event on May 31; May 31, 2030",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,错误,过宽,不是反证,不该触发,合理,,Simulated skydiving does not address wrestling perception.,陆含,未复核,
34,91,1:34:2,"Did Martin Mark's perception of wrestling remain negative after attending a live event on May 31, 2030?",omission,omission,False,2,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,event may 2030,"after attending a live event on May 31; May 31, 2030","premise_anchor:True:pass:shared anchor tokens: mark, martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value",premise_extraction_error,没有,错误,过宽,不是反证,不该触发,合理,,Identity information does not address wrestling perception.,陆含,未复核,
35,91,1:34:2,"Did Martin Mark's perception of wrestling remain negative after attending a live event on May 31, 2030?",omission,omission,False,3,"Yoga remains a staple in Martin’s routine, complementing the more intense activities and supporting his mental clarity.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,event may 2030,"after attending a live event on May 31; May 31, 2030",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,错误,过宽,不是反证,不该触发,合理,,Yoga routine does not address wrestling perception.,陆含,未复核,
36,93,1:36:1,"Did Martin Mark abandon conservation-focused hikes after December 06, 2030?",omission,omission,False,1,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,hik december 2030,"after December 06; December 06, 2030","premise_anchor:True:pass:shared anchor tokens: mark, martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value",explicit_refutation_gate_too_strict,没有,部分正确,过宽,不是反证,不该触发,合理,,Identity information does not address conservation-focused hikes.,陆含,未复核,
37,93,1:36:1,"Did Martin Mark abandon conservation-focused hikes after December 06, 2030?",omission,omission,False,2,"Martin tried simulated skydiving during a team‑building event on April 10, 2026 and found the experience quite thrilling.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,hik december 2030,"after December 06; December 06, 2030",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,explicit_refutation_gate_too_strict,没有,部分正确,过宽,不是反证,不该触发,合理,,Simulated skydiving does not address conservation-focused hikes.,陆含,未复核,
38,93,1:36:1,"Did Martin Mark abandon conservation-focused hikes after December 06, 2030?",omission,omission,False,3,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,Martin Mark,generic_yesno,hik december 2030,"after December 06; December 06, 2030",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,explicit_refutation_gate_too_strict,没有,部分正确,过宽,不是反证,不该触发,合理,,Family background does not address conservation-focused hikes.,陆含,未复核,
39,95,1:35:3,"Did Martin express skepticism about responsible gaming practices during his friend's recovery on Sep 04, 2030?",omission,omission,False,3,"Martin tried simulated skydiving during a team‑building event on April 10, 2026 and found the experience quite thrilling.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,recovery sep 2030,"on Sep 04; Sep 04, 2030",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,temporal_gate_too_strict,没有,错误,过宽,不是反证,不该触发,合理,,Simulated skydiving does not address responsible gaming skepticism.,陆含,未复核,
40,95,1:35:3,"Did Martin express skepticism about responsible gaming practices during his friend's recovery on Sep 04, 2030?",omission,omission,False,8,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,recovery sep 2030,"on Sep 04; Sep 04, 2030",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,temporal_gate_too_strict,没有,错误,过宽,不是反证,不该触发,合理,,Family background does not address responsible gaming skepticism.,陆含,未复核,
41,95,1:35:3,"Did Martin express skepticism about responsible gaming practices during his friend's recovery on Sep 04, 2030?",omission,omission,False,15,"Yoga remains a staple in Martin’s routine, complementing the more intense activities and supporting his mental clarity.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,recovery sep 2030,"on Sep 04; Sep 04, 2030",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,temporal_gate_too_strict,没有,错误,过宽,不是反证,不该触发,合理,,Yoga routine does not address responsible gaming skepticism.,陆含,未复核,
