idx,question,r0_label,b_gated_v2_2_label,memory_index,memory_text,final_reject_reason,near_miss_type,gate_trace_summary,why_potentially_repairable,manual_audit_label_empty,manual_notes_empty
47,"Did Martin's social network encourage him to retire early on April 20, 2028?",omission,omission,4,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""early april 2028"", ""slot"": ""generic_yesno"", ""claimed_value"": ""early april 2028"", ""polarity"": ""positive"", ""temporal_condition"": ""on April 20; April 20, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin's social network encourage him to retire early on April 20, 2028?"", ""anchor_tokens"": [""martin"", ""early"", ""april"", ""2028""], ""slot_tokens"": [""generic"", ""yesno"", ""martin's"", ""martin'"", ""social"", ""network"", ""encourage"", ""retire"", ""early"", ""april"", ""2028""], ""value_tokens"": [""early"", ""april"", ""2028""], ""temporal_tokens"": [""april"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}",Probably not repairable by R3a-v2.2 without new evidence.,,
47,"Did Martin's social network encourage him to retire early on April 20, 2028?",omission,omission,8,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""early april 2028"", ""slot"": ""generic_yesno"", ""claimed_value"": ""early april 2028"", ""polarity"": ""positive"", ""temporal_condition"": ""on April 20; April 20, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin's social network encourage him to retire early on April 20, 2028?"", ""anchor_tokens"": [""martin"", ""early"", ""april"", ""2028""], ""slot_tokens"": [""generic"", ""yesno"", ""martin's"", ""martin'"", ""social"", ""network"", ""encourage"", ""retire"", ""early"", ""april"", ""2028""], ""value_tokens"": [""early"", ""april"", ""2028""], ""temporal_tokens"": [""april"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}",Probably not repairable by R3a-v2.2 without new evidence.,,
47,"Did Martin's social network encourage him to retire early on April 20, 2028?",omission,omission,10,"Martin transitioned to a new role, reporting huge relief and a much healthier balance between work and personal life, marking a significant improvement over his previous position.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""early april 2028"", ""slot"": ""generic_yesno"", ""claimed_value"": ""early april 2028"", ""polarity"": ""positive"", ""temporal_condition"": ""on April 20; April 20, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin's social network encourage him to retire early on April 20, 2028?"", ""anchor_tokens"": [""martin"", ""early"", ""april"", ""2028""], ""slot_tokens"": [""generic"", ""yesno"", ""martin's"", ""martin'"", ""social"", ""network"", ""encourage"", ""retire"", ""early"", ""april"", ""2028""], ""value_tokens"": [""early"", ""april"", ""2028""], ""temporal_tokens"": [""april"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}",Probably not repairable by R3a-v2.2 without new evidence.,,
47,"Did Martin's social network encourage him to retire early on April 20, 2028?",omission,omission,11,"Martin finds the creative aspect of his new role especially exciting, noting that it opens up many possibilities for innovation within the healthcare sector.",temporal_mismatch,temporal_near_miss,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""early april 2028"", ""slot"": ""generic_yesno"", ""claimed_value"": ""early april 2028"", ""polarity"": ""positive"", ""temporal_condition"": ""on April 20; April 20, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin's social network encourage him to retire early on April 20, 2028?"", ""anchor_tokens"": [""martin"", ""early"", ""april"", ""2028""], ""slot_tokens"": [""generic"", ""yesno"", ""martin's"", ""martin'"", ""social"", ""network"", ""encourage"", ""retire"", ""early"", ""april"", ""2028""], ""value_tokens"": [""early"", ""april"", ""2028""], ""temporal_tokens"": [""april"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": false, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": false, ""reason"": ""temporal_mismatch"", ""detail"": ""premise has strong time condition but memory is undated""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_evaluated"", ""detail"": """"}}}",R0 failed and the rejected memory passed at least one earlier gate; manual audit can decide whether this is real counterevidence.,,
47,"Did Martin's social network encourage him to retire early on April 20, 2028?",omission,omission,15,"Martin feels the new role is a perfect fit, empowering him to make a real impact and align with his humanitarian care goals.",temporal_mismatch,temporal_near_miss,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""early april 2028"", ""slot"": ""generic_yesno"", ""claimed_value"": ""early april 2028"", ""polarity"": ""positive"", ""temporal_condition"": ""on April 20; April 20, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin's social network encourage him to retire early on April 20, 2028?"", ""anchor_tokens"": [""martin"", ""early"", ""april"", ""2028""], ""slot_tokens"": [""generic"", ""yesno"", ""martin's"", ""martin'"", ""social"", ""network"", ""encourage"", ""retire"", ""early"", ""april"", ""2028""], ""value_tokens"": [""early"", ""april"", ""2028""], ""temporal_tokens"": [""april"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": false, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": false, ""reason"": ""temporal_mismatch"", ""detail"": ""premise has strong time condition but memory is undated""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_evaluated"", ""detail"": """"}}}",R0 failed and the rejected memory passed at least one earlier gate; manual audit can decide whether this is real counterevidence.,,
48,"Did Martin officially begin his retirement on June 1, 2028?",correct,correct,1,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""retirement june 2028"", ""slot"": ""generic_yesno"", ""claimed_value"": ""retirement june 2028"", ""polarity"": ""positive"", ""temporal_condition"": ""on June 1; June 1, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin officially begin his retirement on June 1, 2028?"", ""anchor_tokens"": [""martin"", ""retirement"", ""june"", ""2028""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""officially"", ""begin"", ""retirement"", ""june"", ""2028""], ""value_tokens"": [""retirement"", ""june"", ""2028""], ""temporal_tokens"": [""june"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
48,"Did Martin officially begin his retirement on June 1, 2028?",correct,correct,2,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""retirement june 2028"", ""slot"": ""generic_yesno"", ""claimed_value"": ""retirement june 2028"", ""polarity"": ""positive"", ""temporal_condition"": ""on June 1; June 1, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin officially begin his retirement on June 1, 2028?"", ""anchor_tokens"": [""martin"", ""retirement"", ""june"", ""2028""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""officially"", ""begin"", ""retirement"", ""june"", ""2028""], ""value_tokens"": [""retirement"", ""june"", ""2028""], ""temporal_tokens"": [""june"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
48,"Did Martin officially begin his retirement on June 1, 2028?",correct,correct,6,"Martin transitioned to a new role, reporting huge relief and a much healthier balance between work and personal life, marking a significant improvement over his previous position.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""retirement june 2028"", ""slot"": ""generic_yesno"", ""claimed_value"": ""retirement june 2028"", ""polarity"": ""positive"", ""temporal_condition"": ""on June 1; June 1, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin officially begin his retirement on June 1, 2028?"", ""anchor_tokens"": [""martin"", ""retirement"", ""june"", ""2028""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""officially"", ""begin"", ""retirement"", ""june"", ""2028""], ""value_tokens"": [""retirement"", ""june"", ""2028""], ""temporal_tokens"": [""june"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
48,"Did Martin officially begin his retirement on June 1, 2028?",correct,correct,13,"Martin finds the creative aspect of his new role especially exciting, noting that it opens up many possibilities for innovation within the healthcare sector.",temporal_mismatch,temporal_near_miss,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""retirement june 2028"", ""slot"": ""generic_yesno"", ""claimed_value"": ""retirement june 2028"", ""polarity"": ""positive"", ""temporal_condition"": ""on June 1; June 1, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin officially begin his retirement on June 1, 2028?"", ""anchor_tokens"": [""martin"", ""retirement"", ""june"", ""2028""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""officially"", ""begin"", ""retirement"", ""june"", ""2028""], ""value_tokens"": [""retirement"", ""june"", ""2028""], ""temporal_tokens"": [""june"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": false, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": false, ""reason"": ""temporal_mismatch"", ""detail"": ""premise has strong time condition but memory is undated""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_evaluated"", ""detail"": """"}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
48,"Did Martin officially begin his retirement on June 1, 2028?",correct,correct,15,"Martin feels the new role is a perfect fit, empowering him to make a real impact and align with his humanitarian care goals.",temporal_mismatch,temporal_near_miss,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""retirement june 2028"", ""slot"": ""generic_yesno"", ""claimed_value"": ""retirement june 2028"", ""polarity"": ""positive"", ""temporal_condition"": ""on June 1; June 1, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin officially begin his retirement on June 1, 2028?"", ""anchor_tokens"": [""martin"", ""retirement"", ""june"", ""2028""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""officially"", ""begin"", ""retirement"", ""june"", ""2028""], ""value_tokens"": [""retirement"", ""june"", ""2028""], ""temporal_tokens"": [""june"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": false, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": false, ""reason"": ""temporal_mismatch"", ""detail"": ""premise has strong time condition but memory is undated""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_evaluated"", ""detail"": """"}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
59,"Did Martin express a preference for solo gaming over multiplayer puzzle games on Aug 08, 2028?",omission,omission,1,"User dislikes violent video games because they promote aggression, which opposes his values of peace and well‑being; he likes puzzle games as they challenge his mind and improve problem‑solving skills crucial to his profession; he also avoids gambling games due to their potential for addiction and financial stress, which are detrimental to mental health.",object_specificity_mismatch,slot_value_near_miss,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""solo gaming over multiplayer puzzle games"", ""slot"": ""preference_status"", ""claimed_value"": ""solo gaming over multiplayer puzzle games"", ""polarity"": ""positive"", ""temporal_condition"": ""on Aug 08; Aug 08, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""preference"", ""raw_question"": ""Did Martin express a preference for solo gaming over multiplayer puzzle games on Aug 08, 2028?"", ""anchor_tokens"": [""martin"", ""solo"", ""gaming"", ""gam"", ""over"", ""multiplayer"", ""puzzle"", ""games""], ""slot_tokens"": [""preference"", ""status"", ""statu""], ""value_tokens"": [""solo"", ""gaming"", ""gam"", ""over"", ""multiplayer"", ""puzzle"", ""games""], ""temporal_tokens"": [""aug"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": false, ""temporal_compatible"": false, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: puzzle""}, ""slot_value_alignment"": {""passed"": false, ""reason"": ""object_specificity_mismatch"", ""detail"": ""preference object is too generic""}, ""temporal_compatibility"": {""passed"": false, ""reason"": ""not_evaluated"", ""detail"": """"}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_evaluated"", ""detail"": """"}}}",R0 failed and the rejected memory passed at least one earlier gate; manual audit can decide whether this is real counterevidence.,,
63,"Did Martin Mark express a preference for avoiding crowded tourist spots on Nov 10, 2028?",omission,omission,1,"User likes wellness retreats for relaxation and activities that promote physical and mental health, aligning with his lifestyle; he avoids crowded tourist spots because they can be overwhelming and stressful; he enjoys nature hikes to connect with the environment and experience tranquility as an escape from his busy work life; he likes cultural tours for insights into different lifestyles and traditions, and spa vacations for unwinding and rejuvenation to maintain life balance.",not_refuting,related_but_not_refuting,"{""premise_extracted"": {""entity"": ""Martin Mark"", ""object_or_activity"": ""avoiding crowded tourist spots"", ""slot"": ""preference_status"", ""claimed_value"": ""avoiding crowded tourist spots"", ""polarity"": ""negative"", ""temporal_condition"": ""on Nov 10; Nov 10, 2028"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""preference"", ""raw_question"": ""Did Martin Mark express a preference for avoiding crowded tourist spots on Nov 10, 2028?"", ""anchor_tokens"": [""martin"", ""mark"", ""avoiding"", ""avoid"", ""crowded"", ""crowd"", ""tourist"", ""spots"", ""spot""], ""slot_tokens"": [""preference"", ""status"", ""statu""], ""value_tokens"": [""avoiding"", ""avoid"", ""crowded"", ""crowd"", ""tourist"", ""spots"", ""spot""], ""temporal_tokens"": [""nov"", ""2028""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: crowd, crowded, spot, spots, tourist""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same preference value""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""stable opposite preference can refute dated preference utterance""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_refuting"", ""detail"": ""memory is compatible with the premise or only supports it""}}}",R0 failed and the rejected memory passed at least one earlier gate; manual audit can decide whether this is real counterevidence.,,
66,"Did Martin express a dislike for horror films on February 13, 2029?",hallucination,hallucination,1,"User likes documentaries because they are informative and provide real‑world insights that complement his thirst for knowledge; he avoids horror films as they can be disturbing and undermine the positive mindset he strives to maintain; he also dislikes slasher films due to excessive violence, preferring movies with meaningful narratives.",not_refuting,related_but_not_refuting,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""horror films"", ""slot"": ""preference_status"", ""claimed_value"": ""horror films"", ""polarity"": ""negative"", ""temporal_condition"": ""on February 13; February 13, 2029"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""preference"", ""raw_question"": ""Did Martin express a dislike for horror films on February 13, 2029?"", ""anchor_tokens"": [""martin"", ""horror"", ""films"", ""film""], ""slot_tokens"": [""preference"", ""status"", ""statu""], ""value_tokens"": [""horror"", ""films"", ""film""], ""temporal_tokens"": [""february"", ""2029""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: horror""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same preference value""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""stable opposite preference can refute dated preference utterance""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_refuting"", ""detail"": ""memory is compatible with the premise or only supports it""}}}",R0 failed and the rejected memory passed at least one earlier gate; manual audit can decide whether this is real counterevidence.,,
74,Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?,omission,omission,10,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""occur june 2029"", ""slot"": ""generic_yesno"", ""claimed_value"": ""occur june 2029"", ""polarity"": ""positive"", ""temporal_condition"": ""after June 2029"", ""event_condition"": ""after June 2029"", ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?"", ""anchor_tokens"": [""martin"", ""occur"", ""june"", ""2029""], ""slot_tokens"": [""generic"", ""yesno"", ""martin's"", ""martin'"", ""promotion"", ""senior"", ""director"", ""huaxin"", ""consulting"", ""consult"", ""occur"", ""june"", ""2029""], ""value_tokens"": [""occur"", ""june"", ""2029""], ""temporal_tokens"": [""june"", ""2029""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}",Probably not repairable by R3a-v2.2 without new evidence.,,
74,Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?,omission,omission,11,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""occur june 2029"", ""slot"": ""generic_yesno"", ""claimed_value"": ""occur june 2029"", ""polarity"": ""positive"", ""temporal_condition"": ""after June 2029"", ""event_condition"": ""after June 2029"", ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?"", ""anchor_tokens"": [""martin"", ""occur"", ""june"", ""2029""], ""slot_tokens"": [""generic"", ""yesno"", ""martin's"", ""martin'"", ""promotion"", ""senior"", ""director"", ""huaxin"", ""consulting"", ""consult"", ""occur"", ""june"", ""2029""], ""value_tokens"": [""occur"", ""june"", ""2029""], ""temporal_tokens"": [""june"", ""2029""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}",Probably not repairable by R3a-v2.2 without new evidence.,,
74,Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?,omission,omission,12,"Yoga remains a staple in Martin’s routine, complementing the more intense activities and supporting his mental clarity.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""occur june 2029"", ""slot"": ""generic_yesno"", ""claimed_value"": ""occur june 2029"", ""polarity"": ""positive"", ""temporal_condition"": ""after June 2029"", ""event_condition"": ""after June 2029"", ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?"", ""anchor_tokens"": [""martin"", ""occur"", ""june"", ""2029""], ""slot_tokens"": [""generic"", ""yesno"", ""martin's"", ""martin'"", ""promotion"", ""senior"", ""director"", ""huaxin"", ""consulting"", ""consult"", ""occur"", ""june"", ""2029""], ""value_tokens"": [""occur"", ""june"", ""2029""], ""temporal_tokens"": [""june"", ""2029""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}",Probably not repairable by R3a-v2.2 without new evidence.,,
74,Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?,omission,omission,15,"Martin tried simulated skydiving during a team‑building event on April 10, 2026 and found the experience quite thrilling.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""occur june 2029"", ""slot"": ""generic_yesno"", ""claimed_value"": ""occur june 2029"", ""polarity"": ""positive"", ""temporal_condition"": ""after June 2029"", ""event_condition"": ""after June 2029"", ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?"", ""anchor_tokens"": [""martin"", ""occur"", ""june"", ""2029""], ""slot_tokens"": [""generic"", ""yesno"", ""martin's"", ""martin'"", ""promotion"", ""senior"", ""director"", ""huaxin"", ""consulting"", ""consult"", ""occur"", ""june"", ""2029""], ""value_tokens"": [""occur"", ""june"", ""2029""], ""temporal_tokens"": [""june"", ""2029""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}",Probably not repairable by R3a-v2.2 without new evidence.,,
